,references,classes,attributes,packages,enum,datatypes,behaviour,expressions,imperative,uml,statemachine,class,workflow,component,interaction,Classes
11,146,96,39,1,0,0,0,1,0,0,1,0,0,0,0,0
13,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
19,94,77,16,1,1,0,0,1,1,0,0,0,0,0,0,0
22,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
33,168,120,61,23,5,0,0,0,0,1,0,1,1,0,0,0
40,0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0
55,99,83,26,10,16,0,1,1,1,0,0,0,0,0,0,0
62,41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0
69,46,17,18,1,0,2,1,0,0,0,1,0,0,0,0,0
74,172,122,61,25,5,0,0,0,0,1,0,1,1,0,0,0
77,158,104,56,18,5,0,0,0,0,1,0,1,1,0,0,0
89,157,116,97,11,0,1,1,0,0,0,1,0,0,0,0,0
97,38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0
101,87,38,74,1,0,0,0,0,1,0,0,0,0,0,0,1
120,62,77,33,1,12,0,0,1,1,0,0,0,0,0,0,0
124,3,66,0,1,0,0,0,0,0,1,1,1,1,1,1,0
154,44,46,11,8,3,4,0,1,1,0,0,0,0,0,0,0
156,22,22,6,1,0,0,1,1,0,0,0,0,0,0,0,0
160,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
166,204,149,42,8,5,5,0,0,1,0,0,1,0,0,0,0
186,74,63,33,1,0,0,0,0,1,0,0,0,0,0,0,1
201,90,78,14,1,0,0,0,1,0,0,1,0,0,0,0,0
202,75,59,15,1,0,0,0,1,1,0,0,0,0,0,0,0
215,4,198,0,1,0,0,0,0,0,1,1,1,1,1,1,0
225,123,91,52,5,2,4,1,0,1,0,0,1,0,0,0,0
246,480,247,106,1,13,4,0,0,0,1,1,1,1,1,1,0
248,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
254,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
259,37,36,13,1,4,0,1,1,0,0,0,0,0,0,0,0
263,20,33,3,2,0,3,0,1,1,0,0,0,0,0,0,0
269,14,15,1,1,0,0,0,0,0,0,0,1,0,0,0,1
280,58,23,36,1,0,33,1,0,0,0,1,0,0,0,0,1
294,27,39,9,1,0,3,0,1,1,0,0,0,0,0,0,0
331,13,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0
334,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
339,41,227,16,1,3,0,0,0,0,1,1,1,1,1,1,0
343,23,16,18,1,1,0,1,0,0,0,0,0,1,0,0,0
350,106,84,26,18,3,0,0,0,0,0,0,1,1,0,0,0
357,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
361,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
363,98,144,24,1,0,0,0,1,1,0,0,0,0,0,0,0
368,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
373,41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0
378,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
386,46,40,12,1,3,0,0,1,1,0,0,0,0,0,0,0
393,116,110,44,1,2,5,0,0,0,1,0,1,0,0,0,1
396,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
413,34,40,12,1,4,1,1,1,0,0,0,0,0,0,0,0
432,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
452,7,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0
466,437,227,91,1,13,0,0,0,0,1,1,1,1,1,1,0
483,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
487,27,21,18,1,1,0,1,0,0,0,0,0,1,0,0,0
498,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
501,41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0
503,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
505,28,22,11,1,6,0,0,1,1,0,0,0,0,0,0,0
509,85,64,37,4,2,4,1,0,1,0,0,1,0,0,0,0
518,23,16,18,1,1,0,1,0,0,0,0,0,1,0,0,0
521,43,30,44,1,1,8,1,0,0,0,1,0,0,0,0,0
535,96,148,23,1,0,0,0,1,1,0,0,0,0,0,0,0
539,31,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0
582,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
584,20,31,8,1,4,0,1,1,0,0,0,0,0,0,0,0
587,51,35,3,1,0,0,0,1,1,0,0,0,0,0,0,0
589,99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0
594,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
609,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
612,114,94,29,22,3,0,0,0,0,0,0,1,1,0,0,0
616,12,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0
619,3,19,1,1,0,0,0,0,0,1,1,1,1,1,1,0
641,1,33,0,1,0,0,0,0,0,1,1,1,1,1,1,0
673,27,39,9,1,0,3,0,1,1,0,0,0,0,0,0,0
679,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
682,1,33,1,1,0,0,0,0,0,1,1,1,1,1,1,0
694,204,149,42,9,5,5,0,0,1,0,0,1,0,0,0,0
714,26,27,13,1,3,0,1,1,0,0,0,0,0,0,0,0
715,123,165,26,1,1,0,0,1,1,0,0,0,0,0,0,0
717,99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0
729,18,20,12,1,1,0,0,1,1,0,0,0,0,0,0,0
733,29,25,11,1,4,0,0,1,1,0,0,0,0,0,0,1
735,80,43,36,1,2,4,0,0,0,1,0,1,0,0,0,0
758,38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0
779,20,31,8,1,4,0,1,1,0,0,0,0,0,0,0,0
791,19,20,2,1,0,0,1,0,0,1,0,0,0,0,0,0
817,437,227,91,1,13,0,0,0,0,1,1,1,1,1,1,0
827,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
831,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
839,34,40,11,1,4,0,1,1,0,0,0,0,0,0,0,0
845,15,15,2,1,0,0,0,1,1,0,0,0,0,0,0,0
847,164,122,73,12,0,0,1,0,0,0,1,0,0,0,0,0
854,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
878,85,64,37,4,2,4,1,0,1,0,0,1,0,0,0,0
881,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
897,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
905,3,67,0,1,0,0,0,0,0,1,1,1,1,1,1,0
906,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
929,9,14,8,1,0,4,0,0,0,1,0,1,0,0,0,1
930,20,15,6,1,0,0,1,0,0,0,1,0,0,0,0,0
933,80,43,36,1,2,4,0,0,0,1,0,1,0,0,0,0
941,17,18,2,1,0,0,1,0,0,1,0,0,0,0,0,0
951,89,76,16,1,1,0,0,1,1,0,0,0,0,0,0,0
963,18,20,12,1,1,0,0,1,1,0,0,0,0,0,0,0
978,123,165,26,1,1,0,0,1,1,0,0,0,0,0,0,0
982,34,41,4,1,0,0,0,1,1,0,0,0,0,0,0,0
1001,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1018,30,34,15,1,2,0,0,1,1,0,0,0,0,0,0,0
1020,53,27,26,1,1,4,0,0,0,1,0,1,0,0,0,0
1023,128,88,24,1,0,0,0,1,0,0,1,0,0,0,0,0
1027,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1028,64,66,35,6,4,0,0,1,1,0,0,0,0,0,0,0
1043,90,81,23,10,14,0,1,1,1,0,0,0,0,0,0,0
1073,13,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0
1095,22,12,2,1,0,0,0,0,0,0,0,1,0,0,0,1
1096,19,29,3,2,0,3,0,1,1,0,0,0,0,0,0,0
1097,89,143,29,1,0,0,0,1,1,0,0,0,0,0,0,0
1103,33,36,16,1,0,0,0,0,0,0,0,1,0,0,0,1
1110,27,39,9,1,0,3,0,1,1,0,0,0,0,0,0,0
1111,41,227,16,1,3,0,0,0,0,1,1,1,1,1,1,0
1121,13,38,10,1,1,4,1,0,0,1,0,0,1,0,0,0
1125,1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0
1151,27,16,8,1,0,0,0,0,1,0,0,0,0,0,0,1
1155,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1167,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1171,1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0
1178,28,13,18,1,0,0,1,0,0,0,1,0,0,0,0,0
1187,17,22,4,1,0,3,0,1,1,0,0,0,0,0,0,0
1193,46,45,26,1,0,0,0,1,1,0,0,0,0,0,0,0
1205,25,20,8,1,0,0,0,1,1,0,0,0,0,0,0,0
1208,2,34,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1210,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1226,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1231,75,59,15,1,0,0,0,1,1,0,0,0,0,0,0,0
1232,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1238,204,149,42,8,5,5,0,0,1,0,0,1,0,0,0,0
1263,18,29,3,1,0,0,0,1,1,0,0,0,0,0,0,0
1286,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1292,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1301,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1310,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1312,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1314,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1315,10,4,14,1,0,0,1,1,0,0,0,0,0,0,0,0
1318,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1328,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1333,1,80,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1352,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1359,51,35,3,1,0,0,0,1,1,0,0,0,0,0,0,0
1366,2,49,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1368,1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0
1371,9,12,3,1,0,0,0,1,1,0,0,0,0,0,0,0
1385,1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0
1400,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1409,437,227,92,1,13,0,0,0,0,1,1,1,1,1,1,0
1411,1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1413,15,15,6,1,1,0,1,0,0,0,1,0,0,0,0,0
1416,8,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0
1420,2,65,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1423,99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0
1429,1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0
1437,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1445,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1447,65,51,28,1,0,0,1,0,0,0,1,0,0,0,0,0
1454,26,31,5,1,0,0,1,1,0,0,0,0,0,0,0,0
1459,25,37,15,1,0,2,0,1,1,0,0,0,0,0,0,0
1465,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1479,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1492,41,34,12,1,0,0,1,1,0,0,0,0,0,0,0,0
1493,63,52,24,1,1,1,0,0,0,0,0,1,0,0,0,1
1497,30,31,11,1,2,0,1,1,0,0,0,0,0,0,0,0
1506,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1528,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1530,3,66,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1533,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1539,88,54,34,3,8,7,0,0,0,1,0,1,0,0,0,0
1545,31,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0
1553,19,29,3,2,0,3,0,1,1,0,0,0,0,0,0,0
1555,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1562,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1565,8,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0
1577,31,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0
1588,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1601,41,227,16,1,3,0,0,0,0,1,1,1,1,1,1,0
1605,3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1616,99,83,26,10,16,0,1,1,1,0,0,0,0,0,0,0
1630,29,31,5,1,2,0,0,1,1,0,0,0,0,0,0,0
1634,12,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0
1636,3,19,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1637,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1639,206,145,42,9,5,5,0,0,1,0,0,1,0,0,0,0
1657,32,24,10,1,0,0,0,1,1,0,0,0,0,0,0,0
1658,480,247,106,1,13,4,0,0,0,1,1,1,1,1,1,0
1659,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1672,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1689,57,51,25,1,3,0,0,1,1,0,0,0,0,0,0,0
1693,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1696,41,227,16,1,3,0,0,0,0,1,1,1,1,1,1,0
1699,27,39,9,1,0,3,0,1,1,0,0,0,0,0,0,0
1719,38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0
1725,30,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0
1729,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1733,3,113,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1757,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1759,123,165,26,1,1,0,0,1,1,0,0,0,0,0,0,0
1775,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1777,116,110,44,1,2,5,0,0,0,1,0,1,0,0,0,1
1779,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1781,1,198,2,1,0,0,0,0,0,1,1,1,1,1,1,0
1789,123,91,52,5,2,4,1,0,1,0,0,1,0,0,0,0
1803,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
1811,76,60,15,1,0,2,0,1,1,0,0,0,0,0,0,0
1826,1,197,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1833,1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0
1838,74,63,31,1,0,0,0,0,1,0,0,0,0,0,0,1
1847,40,23,7,1,0,0,1,0,0,0,1,0,0,0,0,0
1852,37,36,13,1,4,0,1,1,0,0,0,0,0,0,0,0
1855,7,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0
1859,422,221,81,1,11,0,0,0,0,1,1,1,1,1,1,0
1864,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1867,22,22,2,1,0,0,1,0,0,1,0,0,0,0,0,0
1894,172,122,61,25,5,0,0,0,0,1,0,1,1,0,0,0
1904,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
1927,41,227,20,1,3,0,0,0,0,1,1,1,1,1,1,0
1930,1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1944,138,137,21,1,2,0,0,1,0,0,1,0,0,0,0,0
1956,8,4,14,1,0,0,1,1,0,0,0,0,0,0,0,0
1963,96,43,25,1,0,0,0,0,1,0,0,0,0,0,0,1
1968,99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0
1975,19,26,8,1,2,0,0,1,1,0,0,0,0,0,0,0
1990,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
1992,3,3,4,1,0,0,1,1,0,0,0,0,0,0,0,0
1995,33,29,11,1,4,0,0,1,1,0,0,0,0,0,0,1
2004,437,227,92,1,13,0,0,0,0,1,1,1,1,1,1,0
2012,29,25,11,1,4,0,0,1,1,0,0,0,0,0,0,1
2029,17,12,10,1,0,0,1,0,0,0,1,0,0,0,0,0
2053,41,23,12,1,0,2,1,0,0,0,1,0,0,0,0,0
2055,3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2061,0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0
2062,88,142,28,1,0,0,0,1,1,0,0,0,0,0,0,0
2067,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2074,1,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2091,1,13,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2092,31,36,11,1,4,0,1,1,0,0,0,0,0,0,0,0
2112,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2115,192,142,30,1,0,0,0,1,1,0,0,0,0,0,0,0
2121,99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0
2142,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2161,99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0
2165,2,66,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2185,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2187,3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2200,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2203,206,145,42,9,5,5,0,0,1,0,0,1,0,0,0,0
2226,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2230,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2268,14,15,2,1,0,0,0,1,1,0,0,0,0,0,0,0
2272,35,34,11,1,4,0,1,1,0,0,0,0,0,0,0,0
2279,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2283,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2296,125,111,41,1,7,3,1,1,1,0,0,0,0,0,0,0
2298,140,103,53,1,0,33,0,1,1,0,0,0,0,0,0,1
2304,38,227,15,1,3,0,0,0,0,1,1,1,1,1,1,0
2310,99,83,26,10,16,0,1,1,1,0,0,0,0,0,0,0
2314,193,141,43,8,5,5,0,0,1,0,0,1,0,0,0,0
2329,63,92,23,11,8,4,0,1,1,0,0,0,0,0,0,0
2341,1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0
2354,0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0
2358,31,13,22,1,0,0,1,0,0,0,1,0,0,0,0,0
2383,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2389,3,19,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2390,12,12,11,3,0,0,1,1,0,0,0,0,0,0,0,0
2391,23,19,3,1,1,0,1,0,0,1,0,0,0,0,0,0
2392,23,36,12,4,3,0,0,1,0,0,0,0,0,0,0,1
2404,98,59,26,1,0,0,1,1,0,0,0,0,0,0,0,0
2422,0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0
2423,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2435,12,19,3,1,0,0,0,1,1,0,0,0,0,0,0,0
2448,80,40,59,1,0,0,0,0,1,0,0,0,0,0,0,1
2459,123,91,52,5,2,4,1,0,1,0,0,1,0,0,0,0
2460,1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2474,158,104,56,18,5,0,0,0,0,1,0,1,1,0,0,0
2478,1,227,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2491,7,7,8,1,0,0,1,1,0,0,0,0,0,0,0,0
2494,23,16,18,1,1,0,1,0,0,0,0,0,1,0,0,0
2504,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2543,1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2558,27,21,17,1,1,0,1,0,0,0,0,0,1,0,0,0
2575,13,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0
2579,22,28,10,1,2,0,0,1,1,0,0,0,0,0,0,0
2592,19,36,15,1,3,0,0,1,1,0,0,0,0,0,0,0
2594,124,167,28,1,1,0,0,1,1,0,0,0,0,0,0,0
2597,39,41,10,1,4,0,1,1,0,0,0,0,0,0,0,0
2609,11,19,7,1,2,0,0,1,1,0,0,0,0,0,0,0
2618,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2623,25,20,8,1,0,0,0,1,1,0,0,0,0,0,0,0
2626,99,80,17,1,1,0,0,1,1,0,0,0,0,0,0,0
2643,66,60,7,1,0,0,0,1,1,0,0,0,0,0,0,0
2650,17,15,11,1,0,0,1,0,0,0,1,0,0,0,0,0
2655,3,19,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2675,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2684,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2696,34,37,10,1,4,0,1,1,0,0,0,0,0,0,0,0
2709,30,31,6,1,0,0,0,1,1,0,0,0,0,0,0,0
2711,106,84,26,18,3,0,0,0,0,0,0,1,1,0,0,0
2721,88,56,17,1,2,0,0,0,1,0,0,0,0,0,0,1
2722,64,66,35,6,4,0,0,1,1,0,0,0,0,0,0,0
2741,19,29,3,2,0,3,0,1,1,0,0,0,0,0,0,0
2767,33,29,11,1,4,0,0,1,1,0,0,0,0,0,0,1
2772,42,23,12,1,0,2,1,0,0,0,1,0,0,0,0,0
2775,3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2787,4,198,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2827,14,14,9,1,0,0,1,0,0,0,1,0,0,0,0,0
2832,90,78,14,1,0,0,0,1,0,0,1,0,0,0,0,0
2848,29,25,11,1,4,0,0,1,1,0,0,0,0,0,0,1
2849,1,197,1,1,1,0,0,0,0,1,1,1,1,1,1,0
2852,3,66,0,1,0,0,0,0,0,1,1,1,1,1,1,0
2857,17,30,5,1,0,0,0,1,1,0,0,0,0,0,0,0
2858,96,82,26,10,16,0,1,1,1,0,0,0,0,0,0,0
2880,3,37,1,1,0,0,0,0,0,1,1,1,1,1,1,0
2891,32,26,3,1,0,0,0,1,1,0,0,0,0,0,0,0
2895,28,31,4,1,1,0,0,1,1,0,0,0,0,0,0,0
2924,18,40,8,10,0,0,0,1,1,0,0,0,0,0,0,0
2932,150,112,50,1,1,0,0,1,1,0,0,0,0,0,0,1
2937,59,67,28,1,1,0,0,1,1,0,0,0,0,0,0,0
2946,19,29,3,1,0,3,0,1,1,0,0,0,0,0,0,0
2965,169,121,61,23,5,0,0,0,0,1,0,1,1,0,0,0
3003,12,37,11,1,1,4,1,0,0,1,0,0,1,0,0,0
3009,63,53,24,1,1,1,0,0,0,0,0,1,0,0,0,1
3020,30,40,13,4,3,0,0,1,0,0,0,0,0,0,0,1
3025,1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0
3042,138,62,13,6,0,0,1,0,0,0,1,0,0,0,1,0
3046,1,198,2,1,1,0,0,0,0,1,1,1,1,1,1,0
3053,83,40,58,1,0,0,0,0,1,0,0,0,0,0,0,1
3063,24,31,9,1,4,0,1,1,0,0,0,0,0,0,0,0
3067,39,41,10,1,4,0,1,1,0,0,0,0,0,0,0,0
3073,14,14,10,1,0,0,1,0,0,0,1,0,0,0,0,0
3101,1,33,1,1,0,0,0,0,0,1,1,1,1,1,1,0
3102,157,116,97,11,0,1,1,0,0,0,1,0,0,0,0,0
3135,106,84,26,18,3,0,0,0,0,0,0,1,1,0,0,0
3137,0,33,2,1,0,0,0,0,0,1,1,1,1,1,1,0
3141,27,21,18,1,1,0,1,0,0,0,0,0,1,0,0,0
3145,179,246,406,1,13,4,0,0,0,1,1,1,1,1,1,0
3150,12,33,8,1,0,0,0,1,1,0,0,0,0,0,0,0
3224,31,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0
3230,1,32,0,1,0,0,0,0,0,1,1,1,1,1,1,0
3246,34,33,27,1,3,0,0,1,1,0,0,0,0,0,0,0
3257,1,227,1,1,0,0,0,0,0,1,1,1,1,1,1,0
3260,54,33,11,1,0,0,0,1,1,0,0,0,0,0,0,0
3282,3,19,1,1,0,0,0,0,0,1,1,1,1,1,1,0
3283,19,36,15,1,3,0,0,1,1,0,0,0,0,0,0,0
3284,29,25,11,1,4,0,0,1,1,0,0,0,0,0,0,1
3286,116,106,40,1,7,3,1,1,1,0,0,0,0,0,0,0
3292,96,82,28,10,16,0,1,1,1,0,0,0,0,0,0,0
3318,3,3,4,1,0,0,1,1,0,0,0,0,0,0,0,0
3330,4,198,0,1,0,0,0,0,0,1,1,1,1,1,1,0
3364,3,36,0,1,0,0,0,0,0,1,1,1,1,1,1,0
3396,41,31,9,1,0,0,0,1,1,0,0,0,0,0,0,0
3413,123,165,26,1,1,0,0,1,1,0,0,0,0,0,0,0
3487,7,3,6,1,0,0,1,1,0,0,0,0,0,0,0,0
3495,30,23,14,1,0,0,0,1,0,0,1,0,0,0,0,0
3496,123,91,52,5,2,4,1,0,1,0,0,1,0,0,0,0
3500,3,18,0,1,0,0,0,0,0,1,1,1,1,1,1,0
3511,96,82,27,10,16,0,1,1,1,0,0,0,0,0,0,0
3522,168,120,61,23,5,0,0,0,0,1,0,1,1,0,0,0
3530,46,40,12,1,3,0,0,1,1,0,0,0,0,0,0,0
3534,64,89,36,1,4,0,0,1,0,0,0,0,0,0,0,1
3535,13,14,5,1,1,0,1,0,0,0,1,0,0,0,0,0
3563,1,33,0,1,0,0,0,0,0,1,1,1,1,1,1,0
3565,20,29,9,1,4,0,1,1,0,0,0,0,0,0,0,0
3572,0,32,1,1,0,0,0,0,0,1,1,1,1,1,1,0
3582,19,29,3,2,0,3,0,1,1,0,0,0,0,0,0,0
3618,21,11,32,1,0,0,1,0,0,0,1,0,0,0,0,0
3621,98,80,17,1,1,0,0,1,1,0,0,0,0,0,0,0
3630,30,36,10,1,4,0,1,1,0,0,0,0,0,0,0,0
3635,20,20,10,3,0,0,0,1,1,0,0,0,0,0,0,0
3650,30,23,14,1,0,0,0,1,0,0,1,0,0,0,0,0
3680,46,33,8,1,0,0,0,1,1,0,0,0,0,0,0,1
3687,4,77,0,1,0,0,0,0,0,1,1,1,1,1,1,0
3690,204,149,42,9,5,5,0,0,1,0,0,1,0,0,0,0
3760,99,79,16,1,1,0,0,1,1,0,0,0,0,0,0,0
3761,64,58,11,1,1,0,0,1,1,0,0,0,0,0,0,0
3775,26,35,8,1,4,0,1,1,0,0,0,0,0,0,0,0
3797,75,59,15,1,0,0,0,1,1,0,0,0,0,0,0,0
3801,19,29,3,1,0,0,0,1,1,0,0,0,0,0,0,0
3815,31,13,22,1,0,0,1,0,0,0,1,0,0,0,0,0
